video_id,author_name,comment_text,clean_text,comment_date,comment_likes,replies,engagement,log_likes,log_replies,log_engagement,likes_capped,replies_capped,engagement_capped,word_count,char_len,caps_ratio,aggressive_punct,has_caps,has_aggressive_punct,high_caps,emoji_count,has_emoji,candidate_mentioned,video_title,video_url,sentiment_score,sentiment_label
_AkLQ7SIiiQ,@gabrielalbu8523,Mai clar de atât nu se poate! Ff bun material.🙏,Mai clar de atât nu se poate! Ff bun material.🙏,2025-05-14 12:48:14+00:00,574,16,590,6.354370040797351,2.833213344056216,6.3818160174060985,274.90999999999985,16,294.90999999999985,10,47,0.0,1,0,1,0,1,1,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9817067980766296,positive
_AkLQ7SIiiQ,@Gabriel-Anderson,Simion m-a convins sa il votez pe Nicusor Dan presedinte.,Simion m-a convins sa il votez pe Nicusor Dan presedinte.,2025-05-14 12:14:48+00:00,479,8,487,6.173786103901937,2.19722457733622,6.190315405853148,274.90999999999985,8,294.90999999999985,10,57,0.0,0,0,0,0,0,0,both,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5857389569282532,negative
_AkLQ7SIiiQ,@marietafica5504,Un influencer prezent si cu spirit civic. multumim,Un influencer prezent si cu spirit civic. multumim,2025-05-14 13:23:53+00:00,426,6,432,6.056784013228625,1.9459101490553128,6.07073772800249,274.90999999999985,6,294.90999999999985,8,50,0.0,0,0,0,0,0,0,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.91928631067276,positive
_AkLQ7SIiiQ,@Mihai_TPN,"Multumim pentru video, sper sa nu il dea abuziv AEP jos - asa cum face zilele astea pe TikTok","Multumim pentru video, sper sa nu il dea abuziv AEP jos - asa cum face zilele astea pe TikTok",2025-05-14 12:29:55+00:00,326,9,335,5.7899601708972535,2.302585092994046,5.817111159963204,274.90999999999985,9,294.90999999999985,19,93,0.0526315789473684,0,1,0,0,0,0,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9204732775688171,positive
_AkLQ7SIiiQ,@Tyrant1126,"Nu mi mai fac griji. O sa castige, Nicusor, dar o sa avem o divizare in societate cum nu am avut niciodata in istoria noastra! Ne trebuie reforme in educatie sa integram acesti oameni in societatea. Educatie, educatie si iar EDUCATIE!!!!","Nu mi mai fac griji. O sa castige, Nicusor, dar o sa avem o divizare in societate cum nu am avut niciodata in istoria noastra! Ne trebuie reforme in educatie sa integram acesti oameni in societatea. Educatie, educatie si iar EDUCATIE!!!!",2025-05-14 15:26:33+00:00,269,29,298,5.598421958998375,3.4011973816621555,5.700443573390687,269.0,26,294.90999999999985,41,237,0.024390243902439,2,1,1,0,0,0,dan,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.7470237612724304,positive
_AkLQ7SIiiQ,@cmmfdl,"Pe mine m-au consumat foarte mult ultimele zile. Nici nu mai am putere sa explic votantilor lui Simion de ce nu o sa il votez. 
Ma sperie foarte tare gandul ca omul acesta poate sa ajunga presedinte.",Pe mine m-au consumat foarte mult ultimele zile. Nici nu mai am putere sa explic votantilor lui Simion de ce nu o sa il votez. Ma sperie foarte tare gandul ca omul acesta poate sa ajunga presedinte.,2025-05-14 13:47:48+00:00,241,12,253,5.488937726156687,2.5649493574615367,5.537334267018537,241.0,12,253.0,37,198,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.7008518576622009,negative
_AkLQ7SIiiQ,@coralianoname4376,Te-ai pregătit mai mult decât s-a pregătit Simion pentru dezbatere,Te-ai pregătit mai mult decât s-a pregătit Simion pentru dezbatere,2025-05-15 00:48:48+00:00,195,5,200,5.278114659230517,1.791759469228055,5.303304908059076,195.0,5,200.0,10,66,0.0,0,0,0,0,0,0,simion,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5205681920051575,negative
_AkLQ7SIiiQ,@mihaelapascu4484,"Multi oameni nu cred ca inteleg pericolul urias care ne asteapta daca nu votam duminica ND. Nimeni nu are voie sa stea acasa. Obiectivul trebuie sa fie sa votam masiv, diferenta intre cei doi candidati se va vedea prin vot. Si cu cat votam mai multi, cu atat ND va castiga detasat. Dar cred ca multi stau la caldurica si linistiti, mai ales multi influenceri de carton sau vedete pentru care banii sunt buni oricum, fie ca vin de la Rusia, fie ca vin din UE. Pe acestia ar trebui sa nu ii mai sustinem cu niciun fel de vizualizari sau like-uri. In fata extremismului, tacerea inseamna complicitate.","Multi oameni nu cred ca inteleg pericolul urias care ne asteapta daca nu votam duminica ND. Nimeni nu are voie sa stea acasa. Obiectivul trebuie sa fie sa votam masiv, diferenta intre cei doi candidati se va vedea prin vot. Si cu cat votam mai multi, cu atat ND va castiga detasat. Dar cred ca multi stau la caldurica si linistiti, mai ales multi influenceri de carton sau vedete pentru care banii sunt buni oricum, fie ca vin de la Rusia, fie ca vin din UE. Pe acestia ar trebui sa nu ii mai sustinem cu niciun fel de vizualizari sau like-uri. In fata extremismului, tacerea inseamna complicitate.",2025-05-14 12:23:50+00:00,171,16,187,5.147494476813453,2.833213344056216,5.236441962829949,171.0,16,187.0,108,598,0.0277777777777777,0,1,0,0,0,0,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.5695832371711731,positive
_AkLQ7SIiiQ,@Radu3016,La fix am deschis youtube,La fix am deschis youtube,2025-05-14 12:11:28+00:00,105,1,106,4.663439094112067,0.6931471805599453,4.672828834461906,105.0,1,106.0,5,25,0.0,0,0,0,0,0,0,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9833183288574219,negative
_AkLQ7SIiiQ,@ZsoltSipos,"bravo, Silviu. mulțumiri pentru materialul excelent! 🙌","bravo, Silviu. mulțumiri pentru materialul excelent! 🙌",2025-05-14 14:01:34+00:00,104,0,104,4.653960350157523,0.0,4.653960350157523,104.0,0,104.0,7,54,0.0,1,0,1,0,1,1,none,GEORGE SIMION,https://www.youtube.com/watch?v=_AkLQ7SIiiQ,0.9600769281387329,positive
